Stage Number;Stage Name;Tint Set;Conditions;Sky;Time Of Day;Surface;Track
4;invalid stage
5;invalid stage
10;Kaihuavaara;O;hazy;partcloud;noon;dry;new
10;Kaihuavaara;O;hazy;partcloud;noon;dry;normal
10;Kaihuavaara;O;hazy;partcloud;noon;dry;worn
10;Kaihuavaara;O;hazy;heavycloud;noon;dry;new
10;Kaihuavaara;O;hazy;heavycloud;noon;dry;normal
10;Kaihuavaara;O;hazy;heavycloud;noon;dry;worn
10;Kaihuavaara;O;nosnow;lightcloud;noon;dry;new
10;Kaihuavaara;O;nosnow;lightcloud;noon;dry;normal
10;Kaihuavaara;O;nosnow;lightcloud;noon;dry;worn
10;Kaihuavaara;O;nosnow;heavycloud;noon;dry;new
10;Kaihuavaara;O;nosnow;heavycloud;noon;dry;normal
10;Kaihuavaara;O;nosnow;heavycloud;noon;dry;worn
10;Kaihuavaara;O;lightsnow;heavycloud;noon;dry;new
10;Kaihuavaara;O;lightsnow;heavycloud;noon;dry;normal
10;Kaihuavaara;O;lightsnow;heavycloud;noon;dry;worn
10;Kaihuavaara;O;heavysnow;heavycloud;noon;dry;new
10;Kaihuavaara;O;heavysnow;heavycloud;noon;dry;normal
10;Kaihuavaara;O;heavysnow;heavycloud;noon;dry;worn
11;Mustaselka;O;hazy;partcloud;noon;dry;new
11;Mustaselka;O;hazy;partcloud;noon;dry;normal
11;Mustaselka;O;hazy;partcloud;noon;dry;worn
11;Mustaselka;O;hazy;heavycloud;noon;dry;new
11;Mustaselka;O;hazy;heavycloud;noon;dry;normal
11;Mustaselka;O;hazy;heavycloud;noon;dry;worn
11;Mustaselka;O;nosnow;lightcloud;noon;dry;new
11;Mustaselka;O;nosnow;lightcloud;noon;dry;normal
11;Mustaselka;O;nosnow;lightcloud;noon;dry;worn
11;Mustaselka;O;nosnow;heavycloud;noon;dry;new
11;Mustaselka;O;nosnow;heavycloud;noon;dry;normal
11;Mustaselka;O;nosnow;heavycloud;noon;dry;worn
11;Mustaselka;O;lightsnow;heavycloud;noon;dry;new
11;Mustaselka;O;lightsnow;heavycloud;noon;dry;normal
11;Mustaselka;O;lightsnow;heavycloud;noon;dry;worn
11;Mustaselka;O;heavysnow;heavycloud;noon;dry;new
11;Mustaselka;O;heavysnow;heavycloud;noon;dry;normal
11;Mustaselka;O;heavysnow;heavycloud;noon;dry;worn
12;Sikakama;O;hazy;partcloud;evening;dry;new
12;Sikakama;O;hazy;partcloud;evening;dry;normal
12;Sikakama;O;hazy;partcloud;evening;dry;worn
12;Sikakama;O;hazy;heavycloud;evening;dry;new
12;Sikakama;O;hazy;heavycloud;evening;dry;normal
12;Sikakama;O;hazy;heavycloud;evening;dry;worn
12;Sikakama;O;nosnow;lightcloud;evening;dry;new
12;Sikakama;O;nosnow;lightcloud;evening;dry;normal
12;Sikakama;O;nosnow;lightcloud;evening;dry;worn
12;Sikakama;O;nosnow;heavycloud;evening;dry;new
12;Sikakama;O;nosnow;heavycloud;evening;dry;normal
12;Sikakama;O;nosnow;heavycloud;evening;dry;worn
12;Sikakama;O;lightsnow;heavycloud;evening;dry;new
12;Sikakama;O;lightsnow;heavycloud;evening;dry;normal
12;Sikakama;O;lightsnow;heavycloud;evening;dry;worn
12;Sikakama;O;heavysnow;heavycloud;evening;dry;new
12;Sikakama;O;heavysnow;heavycloud;evening;dry;normal
12;Sikakama;O;heavysnow;heavycloud;evening;dry;worn
13;Autiovaara;O;hazy;partcloud;evening;dry;new
13;Autiovaara;O;hazy;partcloud;evening;dry;normal
13;Autiovaara;O;hazy;partcloud;evening;dry;worn
13;Autiovaara;O;hazy;heavycloud;evening;dry;new
13;Autiovaara;O;hazy;heavycloud;evening;dry;normal
13;Autiovaara;O;hazy;heavycloud;evening;dry;worn
13;Autiovaara;O;nosnow;lightcloud;evening;dry;new
13;Autiovaara;O;nosnow;lightcloud;evening;dry;normal
13;Autiovaara;O;nosnow;lightcloud;evening;dry;worn
13;Autiovaara;O;nosnow;heavycloud;evening;dry;new
13;Autiovaara;O;nosnow;heavycloud;evening;dry;normal
13;Autiovaara;O;nosnow;heavycloud;evening;dry;worn
13;Autiovaara;O;lightsnow;heavycloud;evening;dry;new
13;Autiovaara;O;lightsnow;heavycloud;evening;dry;normal
13;Autiovaara;O;lightsnow;heavycloud;evening;dry;worn
13;Autiovaara;O;heavysnow;heavycloud;evening;dry;new
13;Autiovaara;O;heavysnow;heavycloud;evening;dry;normal
13;Autiovaara;O;heavysnow;heavycloud;evening;dry;worn
14;Kaihuavaara II;O;hazy;partcloud;morning;dry;new
14;Kaihuavaara II;O;hazy;partcloud;morning;dry;normal
14;Kaihuavaara II;O;hazy;partcloud;morning;dry;worn
14;Kaihuavaara II;O;hazy;heavycloud;morning;dry;new
14;Kaihuavaara II;O;hazy;heavycloud;morning;dry;normal
14;Kaihuavaara II;O;hazy;heavycloud;morning;dry;worn
14;Kaihuavaara II;O;nosnow;lightcloud;morning;dry;new
14;Kaihuavaara II;O;nosnow;lightcloud;morning;dry;normal
14;Kaihuavaara II;O;nosnow;lightcloud;morning;dry;worn
14;Kaihuavaara II;O;nosnow;heavycloud;morning;dry;new
14;Kaihuavaara II;O;nosnow;heavycloud;morning;dry;normal
14;Kaihuavaara II;O;nosnow;heavycloud;morning;dry;worn
14;Kaihuavaara II;O;lightsnow;heavycloud;morning;dry;new
14;Kaihuavaara II;O;lightsnow;heavycloud;morning;dry;normal
14;Kaihuavaara II;O;lightsnow;heavycloud;morning;dry;worn
